ROW;GMT_TESTTIMESTAMP;COMPONENT_ID;WAFER_ID_XY;PSRO;CWP0_VDDN;CRP0_VDDN;HOME_DIRECTORY;MACHINE_FAMILY;SERIAL;LEVEL;TEST;TEST_PROGRAM;TEST_SUFFIX;PCX_LEVEL;FIRMWARE;BUP_TOOL_VERSION;FN
1;2018-06-02 14:51:10.0;11S02CY381YH1934456738;6A05F107SOC3/105/44;8.277;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/02/zMcharP00C1B9A.SYSMRDD220180507.629018870738849.20180602105110.3907ZR1.zip.gz;zMidas;C1B9A;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1B9A~20180602105110~MFG_MFG.xml.gz
1;2018-06-02 14:51:10.0;11S02CY381YH1934472849;6A05F104SOE3/119/44;8.109;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/02/zMcharP00C1B9A.SYSMRDD220180507.629018870738849.20180602105110.3907ZR1.zip.gz;zMidas;C1B9A;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1B9A~20180602105110~MFG_MFG.xml.gz
1;2018-06-02 15:09:42.0;11S02CY381YH1934477235;6A05E371SOG2/119/44;8.471;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/02/zMcharP00C1D13.SYSMRDD220180507.124719696235868.20180602110942.3907ZR1.zip.gz;zMidas;C1D13;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1D13~20180602110942~MFG_MFG.xml.gz
1;2018-06-02 15:09:42.0;11S02CY381YH1934488868;6A05J205SOB7/49/66;8.249;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/02/zMcharP00C1D13.SYSMRDD220180507.124719696235868.20180602110942.3907ZR1.zip.gz;zMidas;C1D13;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1D13~20180602110942~MFG_MFG.xml.gz
1;2018-06-13 16:30:17.0;11S02CY381YH1934488869;6A05J192SOB0/77/33;8.24;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/13/zMcharP00C1CCB.SYSMRDD220180604.200903752869552.20180613123017.3907ZR1.zip.gz;zMidas;C1CCB;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1CCB~20180613123017~MFG_MFG.xml.gz
1;2018-06-02 14:51:10.0;11S02CY381YH1934488870;6A05J116SOE1/49/77;8.481;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/02/zMcharP00C1B9A.SYSMRDD220180507.629018870738849.20180602105110.3907ZR1.zip.gz;zMidas;C1B9A;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1B9A~20180602105110~MFG_MFG.xml.gz
1;2018-06-24 07:29:48.0;11S02CY381YH1934489018;6A05E370SOC0/91/33;8.534;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/24/zMcharP00C1B9A.SYSMRDD220180604.311558814018437.20180624032948.3907ZR1.zip.gz;zMidas;C1B9A;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1B9A~20180624032948~MFG_MFG.xml.gz
1;2018-06-14 11:26:14.0;11S02CY381YH1934489019;6A05E301SOE2/77/55;8.541;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/14/zMcharP00C1B79.SYSMRDD220180604.629434233019146.20180614072614.3907ZR1.zip.gz;zMidas;C1B79;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1B79~20180614072614~MFG_MFG.xml.gz
1;2018-06-02 15:09:42.0;11S02CY381YH1934494696;6A05X279SOE0/49/44;8.388;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/02/zMcharP00C1D13.SYSMRDD220180507.124719696235868.20180602110942.3907ZR1.zip.gz;zMidas;C1D13;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1D13~20180602110942~MFG_MFG.xml.gz
1;2018-06-02 15:09:42.0;11S02CY381YH1934494719;6A05G118SOE1/77/22;8.399;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/02/zMcharP00C1D13.SYSMRDD220180507.124719696235868.20180602110942.3907ZR1.zip.gz;zMidas;C1D13;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1D13~20180602110942~MFG_MFG.xml.gz
1;2018-06-07 20:20:21.0;11S02CY381YH1934498497;6A05Q091SOA2/77/22;8.285;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/07/zMcharP00C1D13.SYSMRDD220180507.867018502497526.20180607162021.3907ZR1.zip.gz;zMidas;C1D13;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1D13~20180607162021~MFG_MFG.xml.gz
1;2018-06-07 20:20:21.0;11S02CY381YH1934498502;6A05Q091SOA2/105/66;8.357;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/07/zMcharP00C1D13.SYSMRDD220180507.867018502497526.20180607162021.3907ZR1.zip.gz;zMidas;C1D13;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1D13~20180607162021~MFG_MFG.xml.gz
1;2018-06-07 20:20:21.0;11S02CY381YH1934498526;6A05D174SOF5/77/44;8.086;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/07/zMcharP00C1D13.SYSMRDD220180507.867018502497526.20180607162021.3907ZR1.zip.gz;zMidas;C1D13;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1D13~20180607162021~MFG_MFG.xml.gz
1;2018-06-13 16:30:17.0;11S02CY381YH1934498552;6A05M066SOG4/77/66;8.459;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/13/zMcharP00C1CCB.SYSMRDD220180604.200903752869552.20180613123017.3907ZR1.zip.gz;zMidas;C1CCB;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1CCB~20180613123017~MFG_MFG.xml.gz
1;2018-06-14 05:57:01.0;11S02CY381YH1934498563;6A05Q053SOF4/119/44;8.187;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/14/zMcharP00C1D13.SYSMRDD220180604.860744563439433.20180614015701.3907ZR1.zip.gz;zMidas;C1D13;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1D13~20180614015701~MFG_MFG.xml.gz
1;2018-06-07 03:20:07.0;11S02CY381YH1934499125;6A05C224SOE0/77/33;8.3;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/06/zMcharP00C1B79.SYSMRDD220180507.630125234240912.20180606232007.3907ZR1.zip.gz;zMidas;C1B79;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1B79~20180606232007~MFG_MFG.xml.gz
1;2018-06-14 05:57:01.0;11S02CY381YH1934499433;6A05M069SOE4/133/44;8.213;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/14/zMcharP00C1D13.SYSMRDD220180604.860744563439433.20180614015701.3907ZR1.zip.gz;zMidas;C1D13;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1D13~20180614015701~MFG_MFG.xml.gz
1;2018-06-14 11:26:14.0;11S02CY381YH1934499434;6A05M069SOE4/105/55;8.081;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/14/zMcharP00C1B79.SYSMRDD220180604.629434233019146.20180614072614.3907ZR1.zip.gz;zMidas;C1B79;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1B79~20180614072614~MFG_MFG.xml.gz
1;2018-06-24 07:29:48.0;11S02CY381YH1934499437;6A05Q090SOD3/119/55;8.34;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/24/zMcharP00C1B9A.SYSMRDD220180604.311558814018437.20180624032948.3907ZR1.zip.gz;zMidas;C1B9A;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1B9A~20180624032948~MFG_MFG.xml.gz
1;2018-06-08 14:34:19.0;11S02CY381YH1934499438;6A05M069SOE4/105/22;8.154;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/08/zMcharP00C1B9A.SYSMRDD220180507.629438440004125.20180608103419.3907ZR1.zip.gz;zMidas;C1B9A;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1B9A~20180608103419~MFG_MFG.xml.gz
1;2018-06-14 05:57:01.0;11S02CY381YH1934499439;6A05M069SOE4/77/33;8.214;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/14/zMcharP00C1D13.SYSMRDD220180604.860744563439433.20180614015701.3907ZR1.zip.gz;zMidas;C1D13;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1D13~20180614015701~MFG_MFG.xml.gz
1;2018-06-08 14:34:19.0;11S02CY381YH1934499440;6A05M069SOE4/119/44;8.095;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/08/zMcharP00C1B9A.SYSMRDD220180507.629438440004125.20180608103419.3907ZR1.zip.gz;zMidas;C1B9A;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1B9A~20180608103419~MFG_MFG.xml.gz
1;2018-06-14 05:57:01.0;11S02CY381YH1934499744;6A05D174SOF5/63/33;8.043;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/06/14/zMcharP00C1D13.SYSMRDD220180604.860744563439433.20180614015701.3907ZR1.zip.gz;zMidas;C1D13;MFG;FRM;NO_BATCHLIST;MFG;;D32L_BUNDLE27_FINAL;;XTEDS~3907~ZR1~C1D13~20180614015701~MFG_MFG.xml.gz
