ROW,GMT_TESTTIMESTAMP,COMPONENT_ID,WAFER_ID_XY,PSRO,CWP0_VDDN,CRP0_VDDN,HOME_DIRECTORY,MACHINE_FAMILY,SERIAL,LEVEL,TEST,TEST_PROGRAM,TEST_SUFFIX,PCX_LEVEL,FIRMWARE,BUP_TOOL_VERSION,FN,
"1,2018-04-24 15:43:32.0,""11S02CY382YH1934452090"",""6A05J129SOG5/105/44"",8.139,1.175,1.175,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/24/zMcharM60.SYSHEDD220180412.934933626017000735733932113711999955089090.20180424114332.zip.gz"",""zMidas"",""D87F7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180424114332~LAB_LAB.xml.gz"","
"1,2018-04-24 15:43:32.0,""11S02CY382YH1934452113"",""6A05J129SOG5/105/55"",8.138,1.155,1.155,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/24/zMcharM60.SYSHEDD220180412.934933626017000735733932113711999955089090.20180424114332.zip.gz"",""zMidas"",""D87F7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180424114332~LAB_LAB.xml.gz"","
"1,2018-04-24 15:43:32.0,""11S02CY382YH1934453932"",""6A05J128SOC3/63/33"",7.985,1.103,1.103,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/24/zMcharM60.SYSHEDD220180412.934933626017000735733932113711999955089090.20180424114332.zip.gz"",""zMidas"",""D87F7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180424114332~LAB_LAB.xml.gz"","
"1,2018-04-24 15:43:32.0,""11S02CY382YH1934453933"",""6A05J130SOC3/63/66"",7.936,1.089,1.089,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/24/zMcharM60.SYSHEDD220180412.934933626017000735733932113711999955089090.20180424114332.zip.gz"",""zMidas"",""D87F7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180424114332~LAB_LAB.xml.gz"","
"1,2018-04-24 15:43:32.0,""11S02CY382YH1934453934"",""6A05J128SOC3/105/55"",8.188,1.175,1.175,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/24/zMcharM60.SYSHEDD220180412.934933626017000735733932113711999955089090.20180424114332.zip.gz"",""zMidas"",""D87F7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180424114332~LAB_LAB.xml.gz"","
"1,2018-04-12 20:39:51.0,""11S02CY382YH3934437950"",""6A05M043SOG7/63/22"",8.302,1.113,1.113,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/12/zMcharM08.952951950732036.20180412163951.zip.gz"",""zMidas"",""6D437"",""CHAR"",""FRM"",""NO_BATCHLIST"",""CHAR"","""",""D32L_MFG2_RC2_DEBUG"","""",""XTEDS~3906~M01~6D437~20180412163951~CHAR_CHAR.xml.gz"","
"1,2018-04-12 20:39:51.0,""11S02CY382YH3934437951"",""6A05M043SOG7/105/44"",8.341,1.103,1.103,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/12/zMcharM08.952951950732036.20180412163951.zip.gz"",""zMidas"",""6D437"",""CHAR"",""FRM"",""NO_BATCHLIST"",""CHAR"","""",""D32L_MFG2_RC2_DEBUG"","""",""XTEDS~3906~M01~6D437~20180412163951~CHAR_CHAR.xml.gz"","
"1,2018-04-12 20:39:51.0,""11S02CY382YH3934437952"",""6A05M043SOG7/133/44"",8.276,1.204,1.204,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/12/zMcharM08.952951950732036.20180412163951.zip.gz"",""zMidas"",""6D437"",""CHAR"",""FRM"",""NO_BATCHLIST"",""CHAR"","""",""D32L_MFG2_RC2_DEBUG"","""",""XTEDS~3906~M01~6D437~20180412163951~CHAR_CHAR.xml.gz"","
"1,2018-04-12 20:39:51.0,""11S02CY382YH3934438036"",""6A05M043SOG7/119/55"",8.393,1.087,1.087,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/12/zMcharM08.952951950732036.20180412163951.zip.gz"",""zMidas"",""6D437"",""CHAR"",""FRM"",""NO_BATCHLIST"",""CHAR"","""",""D32L_MFG2_RC2_DEBUG"","""",""XTEDS~3906~M01~6D437~20180412163951~CHAR_CHAR.xml.gz"","
"1,2018-04-18 16:32:26.0,""11S02CY382YH3934448122"",""6A058064SOE7/91/55"",8.243,1.14,1.14,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/18/zMcharM60.SYSHEDD220180412.122188189017371367393368369999370395394.20180418123226.zip.gz"",""zMidas"",""D87F7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180418123226~LAB_LAB.xml.gz"","
