ROW;GMT_TESTTIMESTAMP;COMPONENT_ID;WAFER_ID_XY;PSRO;CWP0_VDDN;CRP0_VDDN;HOME_DIRECTORY;MACHINE_FAMILY;SERIAL;LEVEL;TEST;TEST_PROGRAM;TEST_SUFFIX;PCX_LEVEL;FIRMWARE;BUP_TOOL_VERSION;FN
1;2018-10-03 21:35:10.0;11S02CY381YH1934494719;6A05G118SOE1/77/22;8.399;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/10/03/zMcharP00C2467.SYSMRDD2201808906.603438613719676.20181003173510.3907ZR1.zip.gz;zMidas;C2467;MFG;FRM;NO_BATCHLIST;MFG;;D32L_FINAL_RELEASE;;XTEDS~3907~ZR1~C2467~20181003173510~MFG_MFG.xml.gz
1;2018-10-03 06:07:34.0;11S02CY381YH1934504897;6A05X280SOH1/119/44;8.24;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/10/03/zMcharP00C25A6.SYSMRDD2201808906.597920486897504.20181003020734.3907ZR1.zip.gz;zMidas;C25A6;MFG;FRM;NO_BATCHLIST;MFG;;D32L_FINAL_RELEASE;;XTEDS~3907~ZR1~C25A6~20181003020734~MFG_MFG.xml.gz
1;2018-10-05 05:20:42.0;11S02CY381YH1934526414;6A05S053SOG2/49/55;8.147;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/10/05/zMcharP00C19F9.SYSMRDD220180906.069008414110834.20181005012042.3907ZR1.zip.gz;zMidas;C19F9;MFG;FRM;NO_BATCHLIST;MFG;;D32L_FINAL_RELEASE;;XTEDS~3907~ZR1~C19F9~20181005012042~MFG_MFG.xml.gz
1;2018-10-27 22:37:15.0;11S02CY381YH1934526899;6A05S099SOF4/63/55;8.172;1.144;1.144;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/10/27/zMcharP00C2D98.SYSHEDD220181019.916950899367234704329321047045884391779972018371581701970902918614872706898.20181027183715.3906M05.zip.gz;zMidas;C2D98;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M04~C2D98~20181027183715~MFG_MFG.xml.gz
1;2018-10-27 22:37:15.0;11S02CY381YH1934526950;6A06F230SOD0/105/44;8.093;1.045;1.045;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/10/27/zMcharP00C2D98.SYSHEDD220181019.916950899367234704329321047045884391779972018371581701970902918614872706898.20181027183715.3906M05.zip.gz;zMidas;C2D98;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M04~C2D98~20181027183715~MFG_MFG.xml.gz
1;2018-10-26 07:58:42.0;11S02CY381YH1934531221;6A061136SOG6/105/33;8.409;1.136;1.136;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/10/26/zMcharP00C09A1.SYSHEDD220181019.627835221368752521290518830600752291702291838834679851646290916950899367234704329.20181026035842.3906M05.zip.gz;zMidas;C09A1;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M05~C09A1~20181026035842~MFG_MFG.xml.gz
1;2018-10-19 01:27:38.0;11S02CY381YH1934531230;6A05S027SOC3/119/44;8.151;1.144;1.144;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/10/18/zMcharP00C2CCB.SYSHEDD220180921.627230221368752521064978121511714910582524499523522115860495404100676278824520412.20181018212738.3906M05.zip.gz;zMidas;C2CCB;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M05~C2CCB~20181018212738~MFG_MFG.xml.gz
1;2018-10-12 16:12:35.0;11S02CY381YH1934531232;6A05S027SOC3/105/22;8.299;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/10/12/zMcharP00C257F.SYSMRDD220180921.596232207284835.20181012121235.3907ZR1.zip.gz;zMidas;C257F;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3907~ZR1~C257F~20181012121235~MFG_MFG.xml.gz
1;2018-10-22 11:18:15.0;11S02CY381YH1934531257;6A05W147SOE5/77/66;8.243;1.078;1.078;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/10/22/zMcharP00C2D98.SYSHEDD220180921.475132512712561081507226896708283434472705284503709591588575171173257611240188257242.20181022071814.3906M05.zip.gz;zMidas;C2D98;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M05~C2D98~20181022071815~MFG_MFG.xml.gz
1;2018-10-12 16:12:35.0;11S02CY381YH1934531284;6A05R038SOD3/133/55;8.441;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/10/12/zMcharP00C257F.SYSMRDD220180921.596232207284835.20181012121235.3907ZR1.zip.gz;zMidas;C257F;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3907~ZR1~C257F~20181012121235~MFG_MFG.xml.gz
