ROW,GMT_TESTTIMESTAMP,COMPONENT_ID,WAFER_ID_XY,PSRO,CWP0_VDDN,CRP0_VDDN,HOME_DIRECTORY,MACHINE_FAMILY,SERIAL,LEVEL,TEST,TEST_PROGRAM,TEST_SUFFIX,PCX_LEVEL,FIRMWARE,BUP_TOOL_VERSION,FN,
"1,2019-03-11 00:08:04.0,""11S02CY381YH1934526899"",""6A05S099SOF4/63/55"",8.172,1.144,1.144,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/03/10/zMcharP00BFC57.SYSHEDD220181019.517019992118766244966069560933925824031520809277658069940790899364460718449.20190310200804.3906M05.zip.gz"",""zMidas"",""BFC57"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_MFG2_RC14"","""",""XTEDS~3906~M04~BFC57~20190310200804~MFG_MFG.xml.gz"","
"1,2019-03-17 12:27:52.0,""11S02CY381YH1934526950"",""6A06F230SOD0/105/44"",8.093,1.045,1.045,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/03/17/zMcharP00C255E.SYSHEDD220181101.046767053178026177556943979601122957049490149380929920173976950008366934429948.20190317082752.3906M05.zip.gz"",""zMidas"",""C255E"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_MFG2_RC14"","""",""XTEDS~3906~M04~C255E~20190317082752~MFG_MFG.xml.gz"","
"1,2019-03-13 15:37:08.0,""11S02CY381YH1934535835"",""6A05S060SOF3/49/55"",8.353,1.165,1.165,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/03/13/zMcharP00C21AE.SYSHEDD220181019.878908160932924141435921399368816719364079835280859530378949328325772056131.20190313113708.3906M05.zip.gz"",""zMidas"",""C21AE"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_MFG2_RC14"","""",""XTEDS~3906~M04~C21AE~20190313113708~MFG_MFG.xml.gz"","
"1,2019-03-06 21:26:05.0,""11S02CY381YH1934574504"",""6A05T096SOA4/119/66"",8.122,1.111,1.111,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/03/06/zMcharP00C3726.SYSHEDD220181019.789117409290094088220108701737287670416065504339756195811772663930140135.20190306162605.3906M05.zip.gz"",""zMidas"",""C3726"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_MFG2_RC14"","""",""XTEDS~3906~M04~C3726~20190306162605~MFG_MFG.xml.gz"","
"1,2019-03-01 17:19:10.0,""11S02CY381YH1934574512"",""6A05L262SOC1/63/66"",8.352,1.206,1.206,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/03/01/zMcharP00C360C.SYSHEDD220181019.931051660600953829805431996991568785089966150560933925824966115512606021235015.20190301121910.3906M05.zip.gz"",""zMidas"",""C360C"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_MFG2_RC14"","""",""XTEDS~3906~M04~C360C~20190301121910~MFG_MFG.xml.gz"","
"1,2019-03-08 18:14:52.0,""11S02CY381YH1934589613"",""6A061264SOD4/91/22"",8.421,1.165,1.165,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/03/08/zMcharP00C21AE.SYSHEDD220181019.907613967776851404818015032039714709623021198902388599154050766432656115570093710.20190308131452.3906M05.zip.gz"",""zMidas"",""C21AE"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_MFG2_RC14"","""",""XTEDS~3906~M05~C21AE~20190308131452~MFG_MFG.xml.gz"","
"1,2019-03-29 06:48:26.0,""11S02CY381YH1934595008"",""6560089ZSEH1/63/55"",8.455,1.184,1.184,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/03/29/zMcharP00BFC57.SYSHEDD220181210.842822485505587121863878008160932924141624791796242794313325223921050073295518.20190329024826.3906M05.zip.gz"",""zMidas"",""BFC57"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D36C_FINAL_RELEASE"","""",""XTEDS~3906~M04~BFC57~20190329024826~MFG_MFG.xml.gz"","
"1,2019-03-10 23:40:20.0,""11S02CY382YH1934590598"",""6A05Q268SOA0/63/55"",8.201,1.134,1.134,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/03/10/zMcharP00C3726.SYSHEDD220181019.608598613550733013908339849684215660928325403297674658257810430018651936835595986.20190310194020.3906M05.zip.gz"",""zMidas"",""C3726"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_MFG2_RC14"","""",""XTEDS~3906~M05~C3726~20190310194020~MFG_MFG.xml.gz"","
"1,2019-03-10 23:40:20.0,""11S02CY382YH1934590613"",""6A05W087SOB3/105/55"",8.341,1.142,1.142,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/03/10/zMcharP00C3726.SYSHEDD220181019.608598613550733013908339849684215660928325403297674658257810430018651936835595986.20190310194020.3906M05.zip.gz"",""zMidas"",""C3726"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_MFG2_RC14"","""",""XTEDS~3906~M05~C3726~20190310194020~MFG_MFG.xml.gz"","
"1,2019-03-08 00:01:04.0,""11S02CY382YH1934592203"",""6A06C066SOF6/105/44"",8.17,1.118,1.118,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/03/07/zMcharP00C09A1.SYSHEDD220181019.054405379957761396256920979771817784826936871977139143095203302344505204.20190307190104.3906M05.zip.gz"",""zMidas"",""C09A1"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_MFG2_RC14"","""",""XTEDS~3906~M04~C09A1~20190307190104~MFG_MFG.xml.gz"","
"1,2019-03-02 00:58:19.0,""11S02CY382YH1934595885"",""6A05T073SOA7/77/77"",8.524,1.122,1.122,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/03/01/zMcharP00C36EC.SYSHEDD220181019.597765434278103284360376896016995922663389907890872121587869885892572276405.20190301195819.3906M05.zip.gz"",""zMidas"",""C36EC"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_MFG2_RC14"","""",""XTEDS~3906~M04~C36EC~20190301195819~MFG_MFG.xml.gz"","
"1,2019-03-02 00:58:19.0,""11S02CY382YH1934595892"",""6A05T348SOG0/133/55"",7.917,1.099,1.099,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/03/01/zMcharP00C36EC.SYSHEDD220181019.597765434278103284360376896016995922663389907890872121587869885892572276405.20190301195819.3906M05.zip.gz"",""zMidas"",""C36EC"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_MFG2_RC14"","""",""XTEDS~3906~M04~C36EC~20190301195819~MFG_MFG.xml.gz"","
"1,2019-03-10 23:40:20.0,""11S02CY382YH1934607674"",""6A060155SOD6/49/44"",8.024,1.085,1.085,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/03/10/zMcharP00C3726.SYSHEDD220181019.608598613550733013908339849684215660928325403297674658257810430018651936835595986.20190310194020.3906M05.zip.gz"",""zMidas"",""C3726"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_MFG2_RC14"","""",""XTEDS~3906~M05~C3726~20190310194020~MFG_MFG.xml.gz"","
"1,2019-03-13 18:54:57.0,""11S02CY382YH1934608554"",""6A05T067SOG0/21/55"",8.403,1.146,1.146,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/03/13/zMcharP00C09A1.SYSHEDD220181019.698802554246994585743377928965764174771652317573451708154150012180592455787.20190313145457.3906M05.zip.gz"",""zMidas"",""C09A1"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_MFG2_RC14"","""",""XTEDS~3906~M04~C09A1~20190313145457~MFG_MFG.xml.gz"","
"1,2019-03-13 15:37:08.0,""11S02CY382YH1934621325"",""6A061023SOF1/119/44"",7.851,1.064,1.064,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/03/13/zMcharP00C21AE.SYSHEDD220181019.878908160932924141435921399368816719364079835280859530378949328325772056131.20190313113708.3906M05.zip.gz"",""zMidas"",""C21AE"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_MFG2_RC14"","""",""XTEDS~3906~M04~C21AE~20190313113708~MFG_MFG.xml.gz"","
