ROW,GMT_TESTTIMESTAMP,COMPONENT_ID,WAFER_ID_XY,PSRO,CWP0_VDDN,CRP0_VDDN,HOME_DIRECTORY,MACHINE_FAMILY,SERIAL,LEVEL,TEST,TEST_PROGRAM,TEST_SUFFIX,PCX_LEVEL,FIRMWARE,BUP_TOOL_VERSION,FN,
"1,2018-05-10 11:54:22.0,""11S02CY381YH1934456735"",""6A05F107SOC3/77/22"",8.086,1.021,1.021,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/05/10/zMcharP00C1CD1.SYSMRDD220180412.304735191383.20180510075422.3907ZR1.zip.gz"",""zMidas"",""C1CD1"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_BUNDLE27_FINAL"","""",""XTEDS~3907~ZR1~C1CD1~20180510075422~MFG_MFG.xml.gz"","
"1,2018-05-22 21:01:10.0,""11S02CY381YH1934456738"",""6A05F107SOC3/105/44"",8.277,1.196,1.196,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/05/22/zMcharP00C1D1B.SYSHEDD220180507.867849738221874650434413235868127843842795214719696305208120598185870178121018477383.20180522170110.3906M05.zip.gz"",""zMidas"",""C1D1B"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_BUNDLE27_FINAL"","""",""XTEDS~3906~M05~C1D1B~20180522170110~MFG_MFG.xml.gz"","
"1,2018-05-23 23:57:43.0,""11S02CY381YH1934457163"",""6A05F105SOB2/63/66"",8.513,1.021,1.021,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/05/23/zMcharP00C1D82.SYSMRDD220180507.304437431163.20180523195743.3907ZR1.zip.gz"",""zMidas"",""C1D82"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_BUNDLE27_FINAL"","""",""XTEDS~3907~ZR1~C1D82~20180523195743~MFG_MFG.xml.gz"","
"1,2018-05-14 21:35:41.0,""11S02CY381YH1934457168"",""6A05F105SOB2/105/55"",8.388,1.021,1.021,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/05/14/zMcharP000M203.SYSMRDD220180507.941168144496226.20180514173541.zip.gz"",""zMidas"",""F3AE7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3907~ZR1~F3AE7~20180514173541~LAB_LAB.xml.gz"","
"1,2018-05-23 19:26:25.0,""11S02CY381YH1934459866"",""6A05D162SOA0/91/44"",8.314,1.021,1.021,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/05/23/zMcharP00C1D82.SYSMRDD220180507.304437431163866.20180523152625.3907ZR1.zip.gz"",""zMidas"",""C1D82"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_BUNDLE27_FINAL"","""",""XTEDS~3907~ZR1~C1D82~20180523152625~MFG_MFG.xml.gz"","
"1,2018-05-10 11:54:22.0,""11S02CY381YH1934461191"",""6A05D181SOE6/63/33"",8.236,1.021,1.021,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/05/10/zMcharP00C1CD1.SYSMRDD220180412.304735191383.20180510075422.3907ZR1.zip.gz"",""zMidas"",""C1CD1"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_BUNDLE27_FINAL"","""",""XTEDS~3907~ZR1~C1CD1~20180510075422~MFG_MFG.xml.gz"","
"1,2018-05-22 06:34:46.0,""11S02CY381YH1934472847"",""6A05F104SOE3/77/33"",8.225,1.021,1.021,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/05/22/zMcharP00C1D83.SYSMRDD220180507.124871874851847.20180522023446.3907ZR1.zip.gz"",""zMidas"",""C1D83"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_BUNDLE27_FINAL"","""",""XTEDS~3907~ZR1~C1D83~20180522023446~MFG_MFG.xml.gz"","
"1,2018-05-22 21:01:10.0,""11S02CY381YH1934472849"",""6A05F104SOE3/119/44"",8.109,1.184,1.184,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/05/22/zMcharP00C1D1B.SYSHEDD220180507.867849738221874650434413235868127843842795214719696305208120598185870178121018477383.20180522170110.3906M05.zip.gz"",""zMidas"",""C1D1B"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_BUNDLE27_FINAL"","""",""XTEDS~3906~M05~C1D1B~20180522170110~MFG_MFG.xml.gz"","
"1,2018-05-22 06:34:46.0,""11S02CY381YH1934472851"",""6A05F104SOE3/105/33"",8.114,1.021,1.021,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/05/22/zMcharP00C1D83.SYSMRDD220180507.124871874851847.20180522023446.3907ZR1.zip.gz"",""zMidas"",""C1D83"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_BUNDLE27_FINAL"","""",""XTEDS~3907~ZR1~C1D83~20180522023446~MFG_MFG.xml.gz"","
"1,2018-05-22 21:01:10.0,""11S02CY381YH1934477235"",""6A05E371SOG2/119/44"",8.471,1.177,1.177,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/05/22/zMcharP00C1D1B.SYSHEDD220180507.867849738221874650434413235868127843842795214719696305208120598185870178121018477383.20180522170110.3906M05.zip.gz"",""zMidas"",""C1D1B"",""MFG"",""FRM"",""NO_BATCHLIST"",""MFG"","""",""D32L_BUNDLE27_FINAL"","""",""XTEDS~3906~M05~C1D1B~20180522170110~MFG_MFG.xml.gz"","
