ROW;GMT_TESTTIMESTAMP;COMPONENT_ID;WAFER_ID_XY;PSRO;CWP0_VDDN;CRP0_VDDN;HOME_DIRECTORY;MACHINE_FAMILY;SERIAL;LEVEL;TEST;TEST_PROGRAM;TEST_SUFFIX;PCX_LEVEL;FIRMWARE;BUP_TOOL_VERSION;FN
1;2018-11-29 23:57:48.0;11S02CY381YH1934494719;6A05G118SOE1/77/22;8.399;1.184;1.184;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/11/29/zMcharP00C09A1.SYSHEDD220181019.556878896074347155147360517898414824862985315316210603980289092017719064039792329.20181129185748.3906M05.zip.gz;zMidas;C09A1;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M05~C09A1~20181129185748~MFG_MFG.xml.gz
1;2018-11-30 22:34:07.0;11S02CY381YH1934504897;6A05X280SOH1/119/44;8.24;1.134;1.134;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/11/30/zMcharP00C2D98.SYSHEDD220181019.628315345499653070222897263982273417883560531884567980649565533112685969.20181130173407.3906M05.zip.gz;zMidas;C2D98;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M04~C2D98~20181130173407~MFG_MFG.xml.gz
1;2018-11-24 04:59:35.0;11S02CY381YH1934518147;6A05D300SOH0/119/55;8.378;1.124;1.124;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/11/23/zMcharP00BEF6F.SYSHEDD220181019.945606674568054225560775886212841301608226610904147299150039767456908146.20181123235935.3906M05.zip.gz;zMidas;BEF6F;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M04~BEF6F~20181123235935~MFG_MFG.xml.gz
1;2018-11-30 19:45:51.0;11S02CY381YH1934525959;6A05J119SOC1/63/55;8.268;1.151;1.151;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/11/30/zMcharP00C21AE.SYSHEDD220181019.333959335902089227815975881561932016226505669223676506149123766462513044.20181130144551.3906M05.zip.gz;zMidas;C21AE;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M04~C21AE~20181130144551~MFG_MFG.xml.gz
1;2018-11-26 13:29:19.0;11S02CY381YH1934526414;6A05S053SOG2/49/55;8.147;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/11/26/zMcharP00C1C29.SYSMRDD220181019.712414441443504.20181126082919.3907ZR1.zip.gz;zMidas;C1C29;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3907~ZR1~C1C29~20181126082919~MFG_MFG.xml.gz
1;2018-11-29 09:27:46.0;11S02CY381YH1934526443;6A060036SOH2/119/66;8.28;1.148;1.148;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/11/29/zMcharP00C23B4.SYSHEDD220181019.393895161575390714977448284309443324256392733068147378563981976545272520426.20181129042746.3906M05.zip.gz;zMidas;C23B4;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M04~C23B4~20181129042746~MFG_MFG.xml.gz
1;2018-11-29 09:27:46.0;11S02CY381YH1934526895;6A05Q246SOE5/49/44;8.167;1.101;1.101;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/11/29/zMcharP00C23B4.SYSHEDD220181019.393895161575390714977448284309443324256392733068147378563981976545272520426.20181129042746.3906M05.zip.gz;zMidas;C23B4;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M04~C23B4~20181129042746~MFG_MFG.xml.gz
1;2018-11-25 22:02:39.0;11S02CY381YH1934526899;6A05S099SOF4/63/55;8.172;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/11/25/zMcharP00C257F.SYSMRDD220181019.367835512950899.20181125170239.3907ZR1.zip.gz;zMidas;C257F;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3907~ZR1~C257F~20181125170239~MFG_MFG.xml.gz
1;2018-11-25 22:02:39.0;11S02CY381YH1934526950;6A06F230SOD0/105/44;8.093;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/11/25/zMcharP00C257F.SYSMRDD220181019.367835512950899.20181125170239.3907ZR1.zip.gz;zMidas;C257F;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3907~ZR1~C257F~20181125170239~MFG_MFG.xml.gz
1;2018-11-29 09:27:46.0;11S02CY381YH1934528392;6A05P045SOB6/119/66;8.231;1.095;1.095;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/11/29/zMcharP00C23B4.SYSHEDD220181019.393895161575390714977448284309443324256392733068147378563981976545272520426.20181129042746.3906M05.zip.gz;zMidas;C23B4;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M04~C23B4~20181129042746~MFG_MFG.xml.gz
1;2018-11-29 21:57:11.0;11S02CY381YH1934531221;6A061136SOG6/105/33;8.409;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/11/29/zMcharP00C153C.SYSMRDD220181108.600132518221708.20181129165711.3907ZR1.zip.gz;zMidas;C153C;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3907~ZR1~C153C~20181129165711~MFG_MFG.xml.gz
1;2018-11-24 04:59:35.0;11S02CY381YH1934531226;6A061136SOG6/77/77;8.434;1.093;1.093;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/11/23/zMcharP00BEF6F.SYSHEDD220181019.945606674568054225560775886212841301608226610904147299150039767456908146.20181123235935.3906M05.zip.gz;zMidas;BEF6F;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M04~BEF6F~20181123235935~MFG_MFG.xml.gz
1;2018-11-17 04:26:07.0;11S02CY381YH1934531230;6A05S027SOC3/119/44;8.151;1.144;1.144;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/11/16/zMcharP00C2DF8.SYSHEDD220181019.428809368604404631391939235435977968903230854789882913092017023064039792329.20181116232607.3906M05.zip.gz;zMidas;C2DF8;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M04~C2DF8~20181116232607~MFG_MFG.xml.gz
1;2018-11-25 21:02:02.0;11S02CY381YH1934531232;6A05S027SOC3/105/22;8.299;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/11/25/zMcharP00C248B.SYSMRDD220181019.283232207284492.20181125160202.3907ZR1.zip.gz;zMidas;C248B;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3907~ZR1~C248B~20181125160202~MFG_MFG.xml.gz
1;2018-11-29 09:27:46.0;11S02CY381YH1934531256;6A05W147SOE5/49/77;8.42;1.2;1.2;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/11/29/zMcharP00C23B4.SYSHEDD220181019.393895161575390714977448284309443324256392733068147378563981976545272520426.20181129042746.3906M05.zip.gz;zMidas;C23B4;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M04~C23B4~20181129042746~MFG_MFG.xml.gz
1;2018-11-21 20:25:12.0;11S02CY381YH1934531257;6A05W147SOE5/77/66;8.243;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/11/21/zMcharP00C2580.SYSMRDD220181019.597503257611709.20181121152512.3907ZR1.zip.gz;zMidas;C2580;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3907~ZR1~C2580~20181121152512~MFG_MFG.xml.gz
1;2018-11-30 22:34:07.0;11S02CY381YH1934531263;6A05W146SOA3/63/66;8.439;1.138;1.138;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/11/30/zMcharP00C2D98.SYSHEDD220181019.628315345499653070222897263982273417883560531884567980649565533112685969.20181130173407.3906M05.zip.gz;zMidas;C2D98;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M04~C2D98~20181130173407~MFG_MFG.xml.gz
1;2018-11-25 21:02:02.0;11S02CY381YH1934531284;6A05R038SOD3/133/55;8.441;1.021;1.021;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/11/25/zMcharP00C248B.SYSMRDD220181019.283232207284492.20181125160202.3907ZR1.zip.gz;zMidas;C248B;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3907~ZR1~C248B~20181125160202~MFG_MFG.xml.gz
